,num_acc_by_area,grav_mean
488,0.0,0.0
489,0.0,1.0
490,1.0,4.0
491,1.0,4.0
492,0.0,0.0
493,1.0,4.0
494,2.0,3.0
495,0.0,0.0
496,0.0,0.0
497,0.0,0.0
498,1.0,2.0
499,0.0,0.0
500,8.0,3.3333333333333335
501,1.0,4.0
502,3.0,3.75
503,0.0,4.0
504,2.0,2.0
505,0.0,1.0
506,5.0,3.8333333333333335
507,1.0,4.0
508,0.0,0.0
509,0.0,0.0
510,0.0,4.0
511,5.0,3.0
512,0.0,0.0
513,2.0,2.6666666666666665
514,3.0,4.0
515,0.0,4.0
516,3.0,4.0
517,1.0,2.5
518,0.0,4.0
519,2.0,4.0
520,1.0,2.5
521,0.0,4.0
522,2.0,4.0
523,2.0,3.0
524,1.0,4.0
525,3.0,4.0
526,2.0,3.0
527,0.0,0.0
528,1.0,4.0
529,0.0,0.0
530,3.0,2.5
531,3.0,4.0
532,4.0,4.0
533,0.0,1.0
534,1.0,4.0
535,0.0,0.0
536,4.0,3.4
537,1.0,4.0
538,1.0,2.5
539,5.0,3.5
540,0.0,0.0
541,0.0,4.0
542,0.0,0.0
543,0.0,0.0
544,0.0,4.0
545,1.0,4.0
546,0.0,4.0
547,0.0,0.0
548,1.0,2.0
549,0.0,1.0
550,0.0,0.0
551,3.0,3.75
552,0.0,0.0
553,3.0,3.75
554,0.0,0.0
555,0.0,0.0
556,0.0,0.0
557,3.0,4.0
558,0.0,4.0
559,0.0,0.0
560,2.0,3.0
561,1.0,2.5
562,2.0,4.0
563,10.0,4.0
564,0.0,4.0
565,1.0,4.0
566,1.0,4.0
567,1.0,4.0
568,0.0,4.0
569,0.0,1.0
570,13.0,3.75
571,1.0,4.0
572,4.0,2.5
573,0.0,0.0
574,9.0,3.5555555555555554
575,4.0,3.8
576,0.0,4.0
577,10.0,3.4545454545454546
578,3.0,3.25
579,7.0,4.0
580,0.0,0.0
581,0.0,0.0
582,5.0,4.0
583,0.0,0.0
584,0.0,0.0
585,0.0,0.0
586,0.0,0.0
587,0.0,0.0
588,2.0,4.0
589,6.0,3.857142857142857
590,2.0,3.0
591,0.0,0.0
592,0.0,0.0
593,1.0,4.0
594,0.0,4.0
595,2.0,4.0
596,0.0,4.0
597,0.0,4.0
598,0.0,4.0
599,1.0,0.0
600,2.0,4.0
601,1.0,4.0
602,0.0,4.0
603,0.0,0.0
604,3.0,4.0
605,4.0,3.8
606,2.0,3.0
607,1.0,4.0
608,13.0,3.7857142857142856
609,5.0,3.4
610,3.0,4.0
611,3.0,4.0
612,0.0,1.0
613,1.0,2.5
614,1.0,4.0
615,1.0,4.0
616,0.0,0.0
617,3.0,3.0
618,2.0,4.0
619,0.0,4.0
620,1.0,4.0
621,5.0,4.0
622,2.0,4.0
623,0.0,4.0
624,0.0,4.0
625,1.0,4.0
626,6.0,4.0
627,1.0,4.0
628,0.0,0.0
629,0.0,0.0
630,0.0,4.0
631,2.0,4.0
632,2.0,4.0
633,0.0,1.0
634,0.0,1.0
635,1.0,4.0
636,2.0,4.0
637,1.0,3.0
638,2.0,4.0
639,0.0,0.0
640,3.0,4.0
641,0.0,0.0
642,5.0,3.5
643,0.0,0.0
644,1.0,4.0
645,1.0,0.0
646,0.0,0.0
647,0.0,0.0
648,0.0,0.0
649,2.0,4.0
650,4.0,3.75
651,2.0,4.0
652,0.0,0.0
653,0.0,4.0
654,0.0,0.0
655,0.0,4.0
656,0.0,0.0
657,0.0,0.0
658,3.0,3.6666666666666665
659,0.0,4.0
660,0.0,1.0
661,0.0,0.0
662,0.0,0.0
663,0.0,0.0
664,4.0,3.4
665,2.0,3.6666666666666665
666,0.0,0.0
667,7.0,3.25
668,1.0,2.5
669,2.0,4.0
670,0.0,1.0
671,2.0,3.0
672,0.0,0.0
673,1.0,4.0
674,3.0,3.0
675,0.0,0.0
676,0.0,0.0
